row index,Country,Project,Status,Location Lat,Location Long,Mine Type,Company,Economic Mineralogy,Principal Process,Column 9,Mt,Column 11,Column 12
22,Finland,Arctic-Suhanko,Deposit,,,,CD Capital Management,,,Indicated,69.9,g/t Au,0.11
22,Finland,Arctic-Suhanko,Deposit,,,,CD Capital Management,,,Indicated,69.9,%Ni,0.09
22,Finland,Arctic-Suhanko,Deposit,,,,CD Capital Management,,,Indicated,69.9,g/t Pt,0.31
22,Finland,Arctic-Suhanko,Deposit,,,,CD Capital Management,,,Indicated,69.9,g/t Pd,1.28
22,Finland,Arctic-Suhanko,Deposit,,,,CD Capital Management,,,Inferred,91.7,%Cu,0.22
22,Finland,Arctic-Suhanko,Deposit,,,,CD Capital Management,,,Inferred,91.7,g/t Au,0.1
22,Finland,Arctic-Suhanko,Deposit,,,,CD Capital Management,,,Inferred,91.7,%Ni,0.1
22,Finland,Arctic-Suhanko,Deposit,,,,CD Capital Management,,,Inferred,91.7,g/t Pt,0.38
22,Finland,Arctic-Suhanko,Deposit,,,,CD Capital Management,,,Inferred,91.7,g/t Pd,1.5
23,Australia,Area 55,Deposit,,,OC,China Minmetals,,HM,Indicated,12.2,%Cu,0.49
23,Australia,Area 55,Deposit,,,OC,China Minmetals,,HM,Indicated,12.2,%Pb,0.56
